window,label,regime,regime_name,count,pct_window
gfc_2008,Global Financial Crisis,0,R0_calm_bull,59,0.16573033707865167
gfc_2008,Global Financial Crisis,1,R1_cross_asset_risk_on,94,0.2640449438202247
gfc_2008,Global Financial Crisis,2,R2_volatile_bear,109,0.3061797752808989
gfc_2008,Global Financial Crisis,3,R3_high_vol_rebound,94,0.2640449438202247
covid_2020,COVID Crash,0,R0_calm_bull,3,0.125
covid_2020,COVID Crash,1,R1_cross_asset_risk_on,3,0.125
covid_2020,COVID Crash,2,R2_volatile_bear,8,0.3333333333333333
covid_2020,COVID Crash,3,R3_high_vol_rebound,10,0.4166666666666667
rates_2022,Rates / Inflation Bear Market,0,R0_calm_bull,38,0.19387755102040816
rates_2022,Rates / Inflation Bear Market,1,R1_cross_asset_risk_on,86,0.4387755102040816
rates_2022,Rates / Inflation Bear Market,2,R2_volatile_bear,72,0.3673469387755102
