window,label,regime,regime_name,count,pct_window
gfc_2008,Global Financial Crisis,1,R1_cross_asset_risk_on,21,0.05898876404494382
gfc_2008,Global Financial Crisis,2,R2_risk_on_chop,128,0.3595505617977528
gfc_2008,Global Financial Crisis,3,R3_macro_stress,115,0.32303370786516855
gfc_2008,Global Financial Crisis,4,R4_high_vol_bear,92,0.25842696629213485
covid_2020,COVID Crash,0,R0_calm_bull,2,0.08333333333333333
covid_2020,COVID Crash,1,R1_cross_asset_risk_on,1,0.041666666666666664
covid_2020,COVID Crash,2,R2_risk_on_chop,1,0.041666666666666664
covid_2020,COVID Crash,3,R3_macro_stress,7,0.2916666666666667
covid_2020,COVID Crash,4,R4_high_vol_bear,13,0.5416666666666666
rates_2022,Rates / Inflation Bear Market,1,R1_cross_asset_risk_on,6,0.030612244897959183
rates_2022,Rates / Inflation Bear Market,2,R2_risk_on_chop,78,0.3979591836734694
rates_2022,Rates / Inflation Bear Market,3,R3_macro_stress,109,0.5561224489795918
rates_2022,Rates / Inflation Bear Market,4,R4_high_vol_bear,3,0.015306122448979591
