window,label,regime,regime_name,mean_probability
gfc_2008,Global Financial Crisis,0,R0_calm_bull,0.0015891280791031166
gfc_2008,Global Financial Crisis,1,R1_cross_asset_risk_on,0.06672324071147136
gfc_2008,Global Financial Crisis,2,R2_risk_on_chop,0.32864451344547285
gfc_2008,Global Financial Crisis,3,R3_macro_stress,0.32771989650181504
gfc_2008,Global Financial Crisis,4,R4_high_vol_bear,0.2753232212621376
covid_2020,COVID Crash,0,R0_calm_bull,0.04687258731284554
covid_2020,COVID Crash,1,R1_cross_asset_risk_on,0.048294831735579795
covid_2020,COVID Crash,2,R2_risk_on_chop,0.06713450117043604
covid_2020,COVID Crash,3,R3_macro_stress,0.26647667752063614
covid_2020,COVID Crash,4,R4_high_vol_bear,0.5712214022605023
rates_2022,Rates / Inflation Bear Market,0,R0_calm_bull,0.0005555633002052963
rates_2022,Rates / Inflation Bear Market,1,R1_cross_asset_risk_on,0.029913811728515663
rates_2022,Rates / Inflation Bear Market,2,R2_risk_on_chop,0.39107215662617445
rates_2022,Rates / Inflation Bear Market,3,R3_macro_stress,0.5481339374809698
rates_2022,Rates / Inflation Bear Market,4,R4_high_vol_bear,0.030324530864134776
