window,label,regime,regime_name,mean_probability
gfc_2008,Global Financial Crisis,0,R0_calm_bull,6.176233920887751e-08
gfc_2008,Global Financial Crisis,1,R1_steady_risk_on,0.04893915822361799
gfc_2008,Global Financial Crisis,2,R2_risk_on_chop,0.5766222316845918
gfc_2008,Global Financial Crisis,3,R3_high_vol_bear,0.37443854832935836
covid_2020,COVID Crash,0,R0_calm_bull,4.095091132459178e-06
covid_2020,COVID Crash,1,R1_steady_risk_on,0.12087687922644384
covid_2020,COVID Crash,2,R2_risk_on_chop,0.12414348465157067
covid_2020,COVID Crash,3,R3_high_vol_bear,0.7549755410305125
rates_2022,Rates / Inflation Bear Market,0,R0_calm_bull,5.563133766742069e-10
rates_2022,Rates / Inflation Bear Market,1,R1_steady_risk_on,0.007125134019250862
rates_2022,Rates / Inflation Bear Market,2,R2_risk_on_chop,0.5910305930081563
rates_2022,Rates / Inflation Bear Market,3,R3_high_vol_bear,0.4018442724161744
