fold,train_start,train_end,test_start,test_end,train_size,test_size,log_likelihood_train,converged,n_iter
0,2005-02-15,2010-02-17,2010-02-18,2010-05-18,1260,63,-3943.053527763023,True,133
1,2005-02-15,2010-05-18,2010-05-19,2010-08-17,1323,63,-4297.546149680884,True,54
2,2005-02-15,2010-08-17,2010-08-18,2010-11-15,1386,63,-4665.124827437149,True,87
3,2005-02-15,2010-11-15,2010-11-16,2011-02-15,1449,63,-4979.161893783177,True,80
4,2005-02-15,2011-02-15,2011-02-16,2011-05-17,1512,63,-5296.142784375647,True,38
5,2005-02-15,2011-05-17,2011-05-18,2011-08-16,1575,63,-5577.418895287578,True,54
6,2005-02-15,2011-08-16,2011-08-17,2011-11-14,1638,63,-5854.741722840824,True,69
7,2005-02-15,2011-11-14,2011-11-15,2012-02-15,1701,63,-6211.452304780351,True,60
8,2005-02-15,2012-02-15,2012-02-16,2012-05-16,1764,63,-6572.629891786765,True,54
9,2005-02-15,2012-05-16,2012-05-17,2012-08-15,1827,63,-6811.328473418052,True,55
10,2005-02-15,2012-08-15,2012-08-16,2012-11-15,1890,63,-7492.951075403394,True,59
11,2005-02-15,2012-11-15,2012-11-16,2013-02-19,1953,63,-7387.8641882842185,True,82
12,2005-02-15,2013-02-19,2013-02-20,2013-05-20,2016,63,-7667.669538931624,True,64
13,2005-02-15,2013-05-20,2013-05-21,2013-08-19,2079,63,-7927.2517749739545,True,57
14,2005-02-15,2013-08-19,2013-08-20,2013-11-15,2142,63,-8452.66438050438,True,94
15,2005-02-15,2013-11-15,2013-11-18,2014-02-19,2205,63,-8478.990696338,True,62
16,2005-02-15,2014-02-19,2014-02-20,2014-05-20,2268,63,-8672.884193943022,True,95
17,2005-02-15,2014-05-20,2014-05-21,2014-08-19,2331,63,-8928.492882505336,True,73
18,2005-02-15,2014-08-19,2014-08-20,2014-11-17,2394,63,-9123.640529049706,True,86
19,2005-02-15,2014-11-17,2014-11-18,2015-02-19,2457,63,-9412.976339869578,True,61
20,2005-02-15,2015-02-19,2015-02-20,2015-05-20,2520,63,-9710.819188633353,True,124
21,2005-02-15,2015-05-20,2015-05-21,2015-08-19,2583,63,-9974.764608622547,True,104
22,2005-02-15,2015-08-19,2015-08-20,2015-11-17,2646,63,-10223.121520558143,True,57
23,2005-02-15,2015-11-17,2015-11-18,2016-02-19,2709,63,-10614.932620923211,True,48
24,2005-02-15,2016-02-19,2016-02-22,2016-05-19,2772,63,-10954.188212446188,True,62
25,2005-02-15,2016-05-19,2016-05-20,2016-08-18,2835,63,-11233.139322431862,True,84
26,2005-02-15,2016-08-18,2016-08-19,2016-11-16,2898,63,-11541.878349470284,True,65
27,2005-02-15,2016-11-16,2016-11-17,2017-02-17,2961,63,-11853.794379617377,True,41
28,2005-02-15,2017-02-17,2017-02-21,2017-05-19,3024,63,-12019.860065777564,True,35
29,2005-02-15,2017-05-19,2017-05-22,2017-08-18,3087,63,-12224.515219352415,True,138
30,2005-02-15,2017-08-18,2017-08-21,2017-11-16,3150,63,-12471.965778420405,True,89
31,2005-02-15,2017-11-16,2017-11-17,2018-02-20,3213,63,-12715.161482242696,True,45
32,2005-02-15,2018-02-20,2018-02-21,2018-05-21,3276,63,-12967.68204473235,True,133
33,2005-02-15,2018-05-21,2018-05-22,2018-08-20,3339,63,-13351.55462201229,True,68
34,2005-02-15,2018-08-20,2018-08-21,2018-11-16,3402,63,-13552.966264200937,True,51
35,2005-02-15,2018-11-16,2018-11-19,2019-02-21,3465,63,-13845.299794085806,True,76
36,2005-02-15,2019-02-21,2019-02-22,2019-05-22,3528,63,-14224.087696793806,True,85
37,2005-02-15,2019-05-22,2019-05-23,2019-08-21,3591,63,-14495.534088318875,True,92
38,2005-02-15,2019-08-21,2019-08-22,2019-11-19,3654,63,-14779.294244474606,True,96
39,2005-02-15,2019-11-19,2019-11-20,2020-02-21,3717,63,-15087.361213590046,True,55
40,2005-02-15,2020-02-21,2020-02-24,2020-05-21,3780,63,-15334.221819841907,True,43
41,2005-02-15,2020-05-21,2020-05-22,2020-08-20,3843,63,-14815.475636329686,True,82
42,2005-02-15,2020-08-20,2020-08-21,2020-11-18,3906,63,-15222.399072046437,True,90
43,2005-02-15,2020-11-18,2020-11-19,2021-02-22,3969,63,-15621.431449547952,True,30
44,2005-02-15,2021-02-22,2021-02-23,2021-05-21,4032,63,-16032.205591531998,True,67
45,2005-02-15,2021-05-21,2021-05-24,2021-08-20,4095,63,-16367.384809153993,True,63
46,2005-02-15,2021-08-20,2021-08-23,2021-11-18,4158,63,-16657.102691657885,True,114
47,2005-02-15,2021-11-18,2021-11-19,2022-02-18,4221,63,-16990.62271447163,True,55
48,2005-02-15,2022-02-18,2022-02-22,2022-05-20,4284,63,-17374.40402177151,True,41
49,2005-02-15,2022-05-20,2022-05-23,2022-08-22,4347,63,-17752.494595336382,True,104
