scenario,transaction_cost_bps,signal_lag,strategy,start,end,observations,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,hit_rate,avg_exposure,max_exposure,avg_daily_turnover,total_turnover,total_transaction_cost
balanced,0.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
balanced,0.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,2.4946796162128524,0.08042925155587644,0.10283940682727366,0.803884280822259,-0.17311290906521148,0.46460574194139853,0.5051521099116781,0.7871687929342492,1.0,0.01717369970559372,70.0,0.0
balanced,0.0,1,probability_scaled,2010-02-18,2026-05-01,4076,2.586217619658838,0.08215778269107399,0.10193804844670852,0.8257645416936813,-0.17943280108880666,0.45787493809680674,0.5532384690873405,0.7861994581884153,0.9999999999985055,0.01939954722847704,79.07255450327241,0.0
balanced,1.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
balanced,1.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,2.470287870711833,0.07996149032007849,0.10284309048503783,0.7996473557639159,-0.17348462392965358,0.4609139905822555,0.5049067713444554,0.7871687929342492,1.0,0.01717369970559372,70.0,0.007
balanced,1.0,1,probability_scaled,2010-02-18,2026-05-01,4076,2.557963045350687,0.08162870510259501,0.10194103057545795,0.8209447834122111,-0.1800770442890114,0.453298783445082,0.5458783120706575,0.7861994581884153,0.9999999999985055,0.01939954722847704,79.07255450327241,0.007907255450327243
balanced,5.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
balanced,5.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,2.3743984954648307,0.07809221249125287,0.102860066204457,0.7826856369565252,-0.1749699985121429,0.44631772964113775,0.5049067713444554,0.7871687929342492,1.0,0.01717369970559372,70.0,0.034999999999999996
balanced,5.0,1,probability_scaled,2010-02-18,2026-05-01,4076,2.4471453795215847,0.07951482569888846,0.10195426634446862,0.8016582908831915,-0.18264911558670738,0.4353419694558614,0.5424435721295388,0.7861994581884153,0.9999999999985055,0.01939954722847704,79.07255450327241,0.03953627725163621
balanced,10.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
balanced,10.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,2.25822581765751,0.0757595869189871,0.10288632611276517,0.7614540554772602,-0.17682337966348083,0.4284477938560387,0.504170755642787,0.7871687929342492,1.0,0.01717369970559372,70.0,0.06999999999999999
balanced,10.0,1,probability_scaled,2010-02-18,2026-05-01,4076,2.3134471303220874,0.07687793819950173,0.10197375138512654,0.7775347957507126,-0.18585320344561673,0.41364871185552254,0.5392541707556427,0.7861994581884153,0.9999999999985055,0.01939954722847704,79.07255450327241,0.07907255450327241
defensive,0.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
defensive,0.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,1.5743603615411503,0.06020479214073937,0.07866828444840578,0.7826436331365567,-0.12475431833792539,0.48258683901956023,0.5051521099116781,0.6274533856722276,1.0,0.018952404317958783,77.25,0.0
defensive,0.0,1,probability_scaled,2010-02-18,2026-05-01,4076,1.6366371328094043,0.06177274488809026,0.07804655086889074,0.807189886831798,-0.11833156532194433,0.5220309958718566,0.5532384690873405,0.6266911595336557,0.999999578533734,0.021221941030666956,86.50063164099852,0.0
defensive,1.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
defensive,1.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,1.554544002490347,0.059698403669950606,0.07867144409975076,0.7765413748735466,-0.12547721244460075,0.4757708790853794,0.5049067713444554,0.6274533856722276,1.0,0.018952404317958783,77.25,0.007725000000000001
defensive,1.0,1,probability_scaled,2010-02-18,2026-05-01,4076,1.613925189675824,0.061204987261095356,0.07804905142539278,0.8003120154408068,-0.11908585649937098,0.5139568128429982,0.5458783120706575,0.6266911595336557,0.999999578533734,0.021221941030666956,86.50063164099852,0.008650063164099853
defensive,5.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
defensive,5.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,1.476784331033199,0.057675058213310315,0.0786864764099487,0.7521143620782974,-0.1283631237049666,0.4493117380492569,0.5044160942100098,0.6274533856722276,1.0,0.018952404317958783,77.25,0.03862500000000001
defensive,5.0,1,probability_scaled,2010-02-18,2026-05-01,4076,1.525012392186016,0.05893687057590813,0.07806036356873777,0.7727919681092448,-0.12209673128859577,0.48270637513301734,0.5419528949950932,0.6266911595336557,0.999999578533734,0.021221941030666956,86.50063164099852,0.04325031582049926
defensive,10.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
defensive,10.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,1.3828876721774703,0.05515083879122318,0.07871064989825269,0.7215443671041969,-0.1319577976908013,0.41794300720636923,0.5026987242394504,0.6274533856722276,1.0,0.018952404317958783,77.25,0.07725000000000001
defensive,10.0,1,probability_scaled,2010-02-18,2026-05-01,4076,1.4181022701395913,0.05610827004208385,0.07807744994493537,0.7383752602627566,-0.1258462108134497,0.4458479097575445,0.5385181550539745,0.6266911595336557,0.999999578533734,0.021221941030666956,86.50063164099852,0.08650063164099853
aggressive,0.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
aggressive,0.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,3.7372863017205358,0.10094300127017086,0.11946736646005568,0.8650179084571414,-0.21161401327892193,0.4770147293464965,0.5532384690873405,0.8715652600588812,1.0,0.01226692836113837,50.0,0.0
aggressive,0.0,1,probability_scaled,2010-02-18,2026-05-01,4076,3.8248153677771803,0.10218986236997374,0.11897207022178402,0.877623666512458,-0.2176374832163711,0.46954164723720176,0.5532384690873405,0.8710522568608957,0.9999999999992527,0.013815307150968877,56.311191947349144,0.0
aggressive,1.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
aggressive,1.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,3.7136606529812024,0.1006027471457056,0.11946804131577043,0.8624254966826738,-0.21194824803101664,0.4746571301263285,0.5529931305201178,0.8715652600588812,1.0,0.01226692836113837,50.0,0.005000000000000001
aggressive,1.0,1,probability_scaled,2010-02-18,2026-05-01,4076,3.7977198684655598,0.10180616752427363,0.11897336161322636,0.8746878908803261,-0.21812672029290814,0.466729465273969,0.5529931305201178,0.8710522568608957,0.9999999999992527,0.013815307150968877,56.311191947349144,0.005631119194734914
aggressive,5.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
aggressive,5.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,3.620320342603838,0.09924263326587512,0.1194718412419711,0.8520482938275447,-0.21328393211491714,0.46530759388102105,0.5529931305201178,0.8715652600588812,1.0,0.01226692836113837,50.0,0.025
aggressive,5.0,1,probability_scaled,2010-02-18,2026-05-01,4076,3.6908446693761094,0.10027263165374656,0.11897918770881286,0.8629406348854461,-0.22008071056684342,0.4556175386542635,0.5529931305201178,0.8710522568608957,0.9999999999992527,0.013815307150968877,56.311191947349144,0.02815559597367457
aggressive,10.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
aggressive,10.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,3.5062176852161153,0.097544520293116,0.11947906706255533,0.8390603306658365,-0.21495071672003174,0.4537994652056241,0.552747791952895,0.8715652600588812,1.0,0.01226692836113837,50.0,0.05
aggressive,10.0,1,probability_scaled,2010-02-18,2026-05-01,4076,3.560578556258733,0.09835850689775416,0.11898795633021084,0.8482475890120763,-0.2225165558131953,0.4420278146868633,0.5529931305201178,0.8710522568608957,0.9999999999992527,0.013815307150968877,56.311191947349144,0.05631119194734914
crisis_cut,0.0,1,buy_and_hold,2010-02-18,2026-05-01,4076,7.749952304323152,0.14350956580201224,0.17145626232138259,0.868275568477419,-0.33717258279330087,0.4256264391757762,0.5534838076545633,1.0,1.0,0.0,0.0,0.0
crisis_cut,0.0,1,hard_regime_filter,2010-02-18,2026-05-01,4076,1.257335062164025,0.05162569070136369,0.07481192219612724,0.7103985284486892,-0.14562741073170438,0.3545053121659625,0.36776251226692835,0.5649533856722276,1.0,0.020301766437684002,82.75,0.0
crisis_cut,0.0,1,probability_scaled,2010-02-18,2026-05-01,4076,1.3169957592229058,0.05332312585375565,0.0739031644024052,0.740044263961453,-0.1302277784661554,0.40946045829702665,0.5512757605495584,0.5637631638108759,0.999999535383062,0.02283509774379236,93.07585840369765,0.0
